student_id,gpa,skills,reservation,rural,gender,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6
S00001,7.5,sql;autocad,OBC,0,M,I001,I027,I021,I044,I023,I032
S00002,6.86,cloud;writing;excel;ml,SC,0,F,I055,I052,I057,I050,I048,I049
S00003,6.77,financial_modeling;networking,OBC,1,F,I054,I003,I050,I056,I051,I020
S00004,8.58,analysis;autocad;cloud;java;networking,GEN,1,F,I030,I062,I057,I027,I052,I054
S00005,7.77,networking;frontend,SC,0,M,I050,I054,I052,I003,I036,I051
S00006,6.53,social_media;writing;design;excel,GEN,1,M,I049,I040,I039,I062,I041,I045
S00007,7.54,autocad;networking;surveying;ml,GEN,1,M,I019,I004,I032,I051,I003,I056
S00008,7.24,presentation;excel;social_media,GEN,0,M,I015,I042,I020,I049,I010,I043
S00009,5.09,analysis;autocad;surveying,GEN,1,F,I019,I013,I027,I032,I004,I002
S00010,5.99,python;writing,OBC,1,F,I012,I065,I064,I040,I067,I014
S00011,6.46,construction_management;design,GEN,0,F,I005,I024,I013,I059,I025,I004
S00012,6.4,presentation;java,SC,0,M,I042,I015,I018,I010,I043,I048
S00013,6.99,cloud;ml;sql;communication;manufacturing,GEN,1,M,I057,I053,I067,I058,I003,I055
S00014,5.94,construction_management;analysis;autocad;excel;cloud,GEN,0,F,I045,I027,I062,I019,I053,I069
S00015,7.82,python;design;presentation,OBC,1,M,I024,I063,I049,I059,I033,I034
S00016,5.78,networking;design;writing;social_media,OBC,0,M,I049,I040,I050,I006,I054,I043
S00017,5.67,pcb_design;frontend,OBC,0,M,I046,I023,I007,I060,I026,I014
S00018,7.2,communication;cloud,OBC,0,M,I030,I045,I068,I058,I011,I043
S00019,7.74,analysis;autocad;design;cad_modelling;pcb_design,OBC,1,F,I028,I006,I060,I047,I021,I001
S00020,7.17,cloud;python;java,GEN,1,M,I030,I055,I018,I052,I057,I058
S00021,8.06,cad_modelling;python;frontend;surveying,ST,0,F,I014,I036,I021,I064,I013,I037
S00022,7.32,surveying;analysis;autocad;cad_modelling,OBC,1,M,I019,I006,I028,I063,I062,I027
S00023,6.61,excel;seo;surveying;frontend;writing,GEN,0,F,I049,I043,I012,I042,I052,I015
S00024,8.03,writing;presentation;communication,GEN,0,F,I043,I065,I042,I015,I049,I062
S00025,7.93,social_media;excel,GEN,1,M,I039,I015,I045,I042,I020,I040
S00026,6.16,excel;presentation;construction_management;manufacturing;backend,GEN,0,M,I015,I042,I053,I049,I043,I047
S00027,6.52,cad_modelling;design;manufacturing,OBC,1,F,I001,I021,I047,I006,I034,I007
S00028,6.81,construction_management;autocad,GEN,1,M,I004,I032,I019,I027,I005,I002
S00029,7.36,seo;presentation;pcb_design,ST,0,F,I049,I043,I042,I015,I010,I045
S00030,6.35,design;backend;surveying;social_media,GEN,0,F,I013,I028,I018,I006,I053,I004
S00031,6.96,python;pcb_design;manufacturing;cad_modelling;ml,GEN,0,M,I006,I047,I063,I056,I003,I051
S00032,7.09,manufacturing;analysis,GEN,1,F,I059,I006,I031,I028,I045,I068
S00033,6.7,excel;seo;frontend,GEN,0,F,I015,I042,I039,I049,I043,I054
S00034,6.78,communication;writing;autocad;construction_management;analysis,ST,0,F,I019,I043,I062,I011,I045,I027
S00035,7.36,analysis;design;construction_management,OBC,0,M,I028,I005,I013,I006,I047,I019
S00036,6.19,networking;sql;java;design,GEN,0,M,I023,I007,I026,I008,I054,I003
S00037,6.5,seo;social_media;excel,SC,0,F,I015,I045,I049,I042,I043,I041
S00038,7.92,cloud;backend,OBC,0,F,I057,I053,I055,I058,I030,I018
S00039,7.33,seo;social_media;writing;autocad;excel,SC,1,M,I022,I012,I049,I043,I059,I040
S00040,7.1,design;manufacturing;ml;social_media,GEN,0,F,I040,I021,I034,I007,I001,I008
S00041,7.97,ml;sql,GEN,0,F,I057,I003,I056,I023,I053,I054
S00042,6.3,sql;cloud;cad_modelling;frontend;ml,GEN,1,M,I023,I057,I052,I046,I064,I067
S00043,6.67,design;frontend;construction_management,OBC,0,M,I005,I013,I032,I004,I033,I001
S00044,7.3,python;writing;manufacturing;analysis;autocad,OBC,1,F,I006,I063,I059,I047,I045,I062
S00045,5.58,networking;pcb_design;design;social_media;backend,SC,1,M,I054,I026,I007,I060,I051,I057
S00046,6.58,writing;presentation;frontend;backend;construction_management,ST,1,M,I043,I049,I054,I053,I014,I055
S00047,6.84,financial_modeling;presentation;excel;cloud;autocad,GEN,0,M,I020,I042,I015,I058,I043,I049
S00048,7.26,manufacturing;analysis;surveying;presentation;pcb_design,SC,0,M,I063,I006,I062,I015,I049,I042
S00049,6.93,analysis;design,GEN,1,F,I060,I033,I006,I028,I026,I034
S00050,5.08,surveying;ml;manufacturing;autocad,SC,1,F,I019,I021,I001,I032,I004,I002
S00051,6.97,social_media;design,ST,1,M,I040,I029,I007,I009,I033,I060
S00052,7.06,presentation;financial_modeling;analysis,GEN,1,M,I063,I020,I069,I045,I043,I035
S00053,9.46,design;analysis;java,OBC,1,F,I060,I033,I028,I006,I034,I041
S00054,6.81,analysis;financial_modeling;backend;pcb_design,OBC,1,F,I060,I017,I033,I069,I026,I064
S00055,8.14,analysis;surveying;pcb_design;social_media;autocad,ST,1,F,I019,I060,I028,I032,I063,I013
S00056,7.75,design;manufacturing;financial_modeling,SC,0,M,I059,I006,I047,I007,I008,I021
S00057,8.4,ml;networking;backend;cad_modelling;pcb_design,OBC,0,M,I057,I003,I056,I054,I051,I055
