internship_id,sector,tier,capacity,cap_ur,cap_rural,req_skills,stipend,location_type
I001,Mechanical,Tier2,8,2,6,manufacturing;design;cad_modelling;autocad,5000,Office
I002,Mechanical,Tier2,10,3,7,autocad;analysis,5000,Office
I003,IT,Tier1,2,2,0,ml;sql;networking;python,5000,Remote
I004,Civil,Tier2,6,3,3,surveying;construction_management;autocad;design,5000,Office
I005,Civil,Tier2,5,1,4,design;analysis;construction_management,5000,Factory
I006,Mechanical,Tier1,4,3,1,manufacturing;cad_modelling;analysis;design,5000,Office
I007,Electronics,Tier2,2,0,2,manufacturing;design;networking;pcb_design,5000,Factory
I008,Electronics,Tier2,3,1,2,networking;manufacturing;python;design,5000,Factory
I009,Mechanical,Tier2,7,3,4,design;autocad,5000,Office
I010,Finance,Tier1,3,3,0,presentation;sql,5000,Office
I011,Finance,Tier1,5,4,1,communication;analysis,5000,Office
I012,Marketing,Tier2,1,1,0,writing;excel;seo,5000,Office
I013,Civil,Tier2,10,6,4,surveying;analysis;construction_management;design,5000,Office
I014,IT,Tier2,6,2,4,backend;python;frontend,5000,Office
I015,Finance,Tier1,9,5,4,communication;presentation;excel,5000,Office
I016,Electronics,Tier2,9,5,4,manufacturing;python,5000,Factory
I017,Finance,Tier2,5,2,3,analysis;presentation,5000,Office
I018,IT,Tier1,9,5,4,python;java;backend,5000,Office
I019,Civil,Tier2,10,5,5,construction_management;analysis;surveying;autocad,5000,Factory
I020,Finance,Tier2,2,0,2,financial_modeling;excel;presentation,5000,Office
I021,Mechanical,Tier2,3,1,2,design;manufacturing;autocad;cad_modelling,5000,Factory
I022,Marketing,Tier3,3,1,2,writing;seo,5000,Office
I023,IT,Tier2,4,1,3,ml;frontend;sql;java,5000,Office
I024,Electronics,Tier3,6,0,6,python;pcb_design;design,5000,Office
I025,Civil,Tier3,4,2,2,surveying;design,5000,Office
I026,Electronics,Tier2,5,1,4,networking;pcb_design;design,5000,Factory
I027,Civil,Tier2,8,3,5,autocad;construction_management;analysis,5000,Office
I028,Mechanical,Tier1,5,3,2,design;analysis;cad_modelling,5000,Office
I029,Marketing,Tier2,2,0,2,design;communication,5000,Office
I030,IT,Tier1,9,5,4,python;sql;java;cloud,5000,Remote
I031,Finance,Tier3,2,0,2,sql;analysis,5000,Office
I032,Civil,Tier2,6,2,4,construction_management;surveying;autocad;design,5000,Factory
I033,Electronics,Tier2,3,1,2,python;design;analysis,5000,Factory
I034,Electronics,Tier2,8,5,3,design;python;manufacturing,5000,Factory
I035,Finance,Tier2,5,2,3,presentation;financial_modeling,5000,Office
I036,IT,Tier1,3,3,0,frontend;python,5000,Office
I037,IT,Tier2,2,1,1,networking;python;cloud;backend,5000,Remote
I038,Finance,Tier2,7,4,3,sql;analysis,5000,Office
I039,Finance,Tier1,5,3,2,excel;sql,5000,Office
I040,Marketing,Tier2,6,3,3,social_media;design;writing,5000,Remote
I041,Marketing,Tier2,7,2,5,communication;design;excel;seo,5000,Remote
I042,Finance,Tier1,9,5,4,communication;excel;presentation,5000,Office
I043,Marketing,Tier1,2,1,1,presentation;seo;communication;writing,5000,Office
I044,Finance,Tier2,7,3,4,sql;presentation;financial_modeling,5000,Office
I045,Finance,Tier1,5,3,2,communication;analysis;excel,5000,Office
I046,IT,Tier2,4,1,3,cloud;backend;frontend,5000,Remote
I047,Mechanical,Tier1,10,10,0,cad_modelling;design;manufacturing,5000,Factory
I048,IT,Tier1,7,5,2,ml;java,5000,Remote
I049,Marketing,Tier1,6,5,1,writing;seo;design;presentation,5000,Remote
I050,IT,Tier1,2,2,0,ml;frontend;networking,5000,Remote
I051,IT,Tier1,9,6,3,networking;ml;python,5000,Remote
I052,IT,Tier1,1,1,0,cloud;ml;frontend,5000,Office
I053,IT,Tier1,3,1,2,backend;sql;cloud,5000,Remote
I054,IT,Tier1,10,7,3,networking;sql;frontend;backend,5000,Office
I055,IT,Tier1,10,9,1,cloud;ml;backend;python,5000,Remote
I056,IT,Tier1,8,4,4,ml;networking;python,5000,Office
I057,IT,Tier1,4,3,1,backend;sql;cloud;ml,5000,Remote
I058,IT,Tier1,3,2,1,cloud;sql,5000,Remote
I059,Mechanical,Tier3,5,0,5,analysis;design;manufacturing;autocad,5000,Factory
I060,Electronics,Tier2,2,0,2,design;pcb_design;analysis;python,5000,Factory
