student_id,internship_id,skills,req_skills,gpa,stipend,match,accept
S00779,I004,frontend manufacturing writing,excel sql design autocad,6.9,4500,1,0
S01618,I031,networking ml python java backend presentation,communication sql,7.16,4500,0,0
S00548,I031,networking cloud presentation analysis writing java,communication sql,7.39,4500,1,1
S01592,I032,java excel cloud,sql frontend manufacturing,8.4,5000,0,0
S00171,I027,sql design communication backend writing excel,communication design networking,7.33,4500,0,0
S00892,I005,manufacturing presentation autocad writing sql networking,presentation sql,7.9,4500,0,0
S01094,I001,frontend writing design cloud,java writing sql,8.32,5000,0,0
S01025,I040,sql python communication,java cloud,5.44,4500,0,0
S01350,I020,analysis networking cloud,networking excel,9.09,5000,0,0
S01165,I018,networking cloud analysis,java backend networking,8.41,5000,1,0
S00717,I034,design networking manufacturing backend frontend excel,python networking,7.76,5000,1,1
S00723,I040,python communication writing presentation sql,java cloud,8.11,4500,0,0
S01981,I039,presentation excel writing,cloud ml writing,8.05,4500,0,0
S00913,I011,frontend ml autocad writing,presentation communication excel ml cloud,7.98,5500,1,0
S00036,I040,sql communication excel,java cloud,8.52,4500,0,0
S01020,I018,manufacturing design ml autocad excel,java backend networking,7.41,5000,0,0
S00904,I025,frontend networking manufacturing communication backend sql,networking excel,7.46,5000,0,0
S00711,I011,excel analysis presentation manufacturing writing backend,presentation communication excel ml cloud,8.13,5500,0,0
S00770,I014,frontend design manufacturing communication java cloud,analysis ml networking python,7.5,5000,0,0
S01506,I004,networking python analysis,excel sql design autocad,6.46,4500,1,1
S01411,I022,analysis communication python,networking java,6.96,4500,1,1
S00467,I007,networking ml java,cloud networking backend communication ml,8.88,4500,0,0
S00405,I010,sql design backend,manufacturing design backend,8.15,5500,0,0
S01231,I020,sql manufacturing excel design java,networking excel,6.58,5000,0,0
S00131,I038,ml analysis sql,cloud autocad analysis python sql,8.55,4500,0,0
S01117,I006,backend design frontend,sql backend,7.28,5000,0,0
S00689,I004,python presentation backend cloud design ml,excel sql design autocad,5.75,4500,0,0
S01875,I015,python manufacturing design presentation analysis writing,frontend analysis,6.3,5500,0,0
S00120,I003,cloud presentation ml sql,networking manufacturing frontend java python,6.13,5500,0,0
S01915,I015,frontend cloud sql,frontend analysis,10.0,5500,0,0
S00079,I008,manufacturing sql python backend frontend excel,networking ml manufacturing,5.79,5500,0,0
S01139,I026,communication analysis presentation autocad writing python,networking analysis sql manufacturing cloud,5.42,4500,0,0
S01044,I029,writing backend sql communication,design java excel,7.99,5500,0,0
S01210,I010,writing manufacturing analysis autocad java design,manufacturing design backend,9.2,5500,0,0
S00249,I005,java python cloud,presentation sql,9.77,4500,1,1
S00389,I033,writing cloud autocad presentation manufacturing java,backend excel java,7.22,5000,1,0
S01494,I025,python sql ml presentation communication design,networking excel,7.94,5000,0,0
S01969,I025,presentation manufacturing networking sql backend cloud,networking excel,7.3,5000,0,0
S01439,I036,ml backend design cloud networking,frontend autocad,10.0,5500,1,1
S00427,I011,python writing autocad communication frontend,presentation communication excel ml cloud,8.63,5500,0,0
S00356,I031,excel presentation autocad manufacturing analysis frontend,communication sql,9.15,4500,0,0
