student_id,gpa,skills,reservation,rural,gender,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6
S00001,8.05,java design ml python manufacturing,GEN,1,M,I028,I003,I010,I019,I023,I029
S00002,7.35,design backend excel autocad sql,GEN,0,F,I004,I010,I009,I013,I029,I033
S00003,7.24,networking analysis ml presentation,OBC,0,F,I011,I028,I014,I026,I007,I008
S00004,7.24,communication writing manufacturing,OBC,1,F,I010,I011,I019,I021,I023,I039
S00005,9.24,cloud ml presentation writing,GEN,0,M,I011,I039,I021,I007,I019,I023
S00006,8.34,networking excel analysis manufacturing communication java,SC,1,M,I026,I003,I011,I022,I028,I009
S00007,6.98,python backend excel design,GEN,0,M,I010,I028,I004,I009,I013,I029
S00008,8.1,writing backend cloud design autocad,ST,0,F,I010,I019,I024,I039,I004,I007
S00009,7.77,excel autocad java,GEN,0,F,I004,I029,I033,I011,I017,I019
S00010,5.4,excel frontend design,GEN,0,F,I004,I029,I010,I011,I012,I019
S00011,6.39,excel design frontend manufacturing java python,OBC,0,M,I003,I028,I029,I010,I019,I023
S00012,7.85,writing design sql backend,SC,0,F,I010,I019,I001,I004,I006,I012
S00013,9.11,frontend cloud java,OBC,0,F,I040,I003,I011,I012,I019,I022
S00014,7.25,frontend cloud ml excel design backend,ST,0,M,I011,I007,I010,I039,I004,I013
S00015,6.9,presentation cloud analysis python java,GEN,0,F,I028,I011,I009,I026,I038,I040
S00016,7.62,autocad networking manufacturing backend excel,GEN,0,M,I010,I017,I004,I013,I016,I026
S00017,6.84,frontend cloud backend,OBC,0,F,I007,I010,I011,I012,I036,I039
S00018,7.18,networking backend java,GEN,0,M,I018,I022,I028,I016,I033,I003
S00019,7.49,python manufacturing excel networking,OBC,0,M,I003,I028,I009,I026,I008,I010
S00020,6.34,analysis autocad backend frontend excel design,GEN,1,M,I004,I010,I012,I024,I036,I009
S00021,8.4,python autocad presentation analysis,SC,0,F,I024,I028,I009,I038,I011,I012
S00022,6.16,communication presentation writing cloud,GEN,0,M,I011,I039,I007,I019,I021,I023
