student_id,internship_id,skills,req_skills_job,gpa,stipend_internship,reservation,gender,rural,match,accept
S03678,I059,cloud ml,analysis design manufacturing autocad,7.14,5000,GEN,F,0,0,0
S03922,I002,sql financial_modeling,autocad analysis,8.81,5000,OBC,M,1,1,0
S00609,I041,networking python,communication design excel seo,7.65,5000,GEN,F,0,0,0
S00408,I040,java cloud manufacturing social_media,social_media design writing,5.75,5000,GEN,M,0,1,0
S01753,I036,manufacturing design,frontend python,5.71,5000,ST,F,1,0,0
S02586,I053,presentation communication surveying,backend sql cloud,7.83,5000,GEN,M,1,1,0
S02674,I004,cloud pcb_design,surveying construction_management autocad design,7.96,5000,OBC,M,0,1,1
S00915,I019,sql communication financial_modeling,construction_management analysis surveying autocad,7.62,5000,SC,F,1,0,0
S03804,I046,java sql cloud seo,cloud backend frontend,7.33,5000,GEN,F,0,0,0
S01886,I002,python presentation,autocad analysis,8.59,5000,GEN,M,0,0,0
S01721,I024,design seo communication cloud java,python pcb_design design,8.16,5000,SC,F,0,1,1
S01830,I050,design analysis social_media,ml frontend networking,6.27,5000,GEN,F,0,0,0
S02737,I039,ml networking,excel sql,4.82,5000,SC,F,1,0,0
S03178,I002,analysis manufacturing sql,autocad analysis,6.9,5000,GEN,M,0,0,0
S02593,I034,communication analysis sql pcb_design surveying,design python manufacturing,7.55,5000,GEN,M,0,0,0
S00459,I033,analysis python,python design analysis,5.92,5000,ST,M,0,1,1
S00783,I001,social_media backend writing manufacturing,manufacturing design cad_modelling autocad,8.2,5000,GEN,M,1,1,1
S02324,I051,analysis seo presentation design networking,networking ml python,5.9,5000,GEN,F,0,0,0
S02268,I017,excel design writing frontend,analysis presentation,6.74,5000,SC,M,0,0,0
S03105,I040,construction_management surveying frontend social_media,social_media design writing,7.43,5000,GEN,F,1,1,1
S01515,I060,sql writing social_media ml,design pcb_design analysis python,7.68,5000,GEN,F,0,0,0
S02247,I005,excel backend java cloud,design analysis construction_management,4.93,5000,SC,F,0,0,0
S01594,I012,frontend java financial_modeling manufacturing design,writing excel seo,5.07,5000,GEN,M,0,0,0
S03384,I041,communication financial_modeling analysis networking,communication design excel seo,5.78,5000,GEN,M,0,1,1
S00039,I028,cad_modelling design manufacturing,design analysis cad_modelling,6.52,5000,OBC,F,1,0,0
S02237,I038,presentation java cloud backend python,sql analysis,7.51,5000,GEN,M,1,0,0
S00563,I056,design networking cad_modelling pcb_design,ml networking python,7.13,5000,ST,O,1,1,1
S00808,I001,analysis cad_modelling seo,manufacturing design cad_modelling autocad,6.24,5000,ST,F,1,0,0
S02493,I008,seo surveying,networking manufacturing python design,5.22,5000,GEN,F,1,1,0
S03063,I030,backend networking ml social_media,python sql java cloud,6.43,5000,OBC,F,1,0,0
S00274,I007,social_media presentation communication frontend,manufacturing design networking pcb_design,7.21,5000,GEN,M,0,0,0
S02845,I055,ml cloud backend python financial_modeling,cloud ml backend python,9.19,5000,GEN,M,0,1,1
S03725,I013,social_media seo presentation design pcb_design,surveying analysis construction_management design,6.94,5000,GEN,F,0,0,0
S00696,I008,ml java backend presentation,networking manufacturing python design,6.34,5000,GEN,M,0,0,0
S01931,I028,python networking excel,design analysis cad_modelling,7.25,5000,GEN,M,0,0,0
S02926,I022,frontend java python financial_modeling analysis,writing seo,5.15,5000,ST,M,1,0,0
S02850,I030,analysis manufacturing communication backend financial_modeling,python sql java cloud,8.07,5000,GEN,M,1,0,0
S01769,I028,analysis construction_management seo writing,design analysis cad_modelling,7.47,5000,SC,M,1,0,0
S00140,I013,ml cloud,surveying analysis construction_management design,7.68,5000,OBC,M,1,0,0
S00516,I001,python ml,manufacturing design cad_modelling autocad,8.11,5000,OBC,M,0,0,0
S01096,I042,analysis surveying,communication excel presentation,6.08,5000,ST,M,0,0,0
S00423,I025,construction_management backend seo presentation,surveying design,6.46,5000,OBC,F,1,0,0
S00050,I011,analysis design construction_management,communication analysis,7.36,5000,OBC,M,0,0,0
S03919,I045,pcb_design cad_modelling manufacturing,communication analysis excel,5.54,5000,ST,F,1,0,0
S00115,I006,excel communication seo surveying social_media,manufacturing cad_modelling analysis design,7.47,5000,GEN,M,0,1,1
S01997,I021,presentation frontend,design manufacturing autocad cad_modelling,5.89,5000,GEN,M,1,0,0
S03568,I030,autocad excel,python sql java cloud,6.99,5000,OBC,M,0,0,0
S03877,I055,sql excel analysis,cloud ml backend python,5.65,5000,GEN,F,1,0,0
