student_id,internship_id,pref_rank
S02891,I001,1
S01189,I001,1
S02941,I032,1
S03884,I001,1
S01141,I001,4
S03671,I020,1
S02068,I001,4
S01528,I007,1
S02808,I002,1
S00153,I002,1
S00046,I002,1
S03856,I055,2
S00665,I018,1
S01209,I002,1
S02952,I026,2
S00974,I002,1
S00472,I045,1
S01964,I028,1
S02693,I003,2
S03978,I003,2
S01865,I004,1
S00015,I004,1
S00670,I004,2
S03056,I004,1
S03526,I011,1
S01090,I013,1
S03981,I005,2
S03499,I005,1
S03296,I005,2
S02701,I029,1
S03565,I032,1
S00807,I006,1
S00741,I052,1
S03411,I006,3
S02643,I006,3
S02158,I007,1
S01660,I008,1
S00127,I008,1
S03527,I018,2
S03310,I009,1
S01228,I004,2
S02898,I009,1
S01322,I034,1
S00811,I009,1
S03498,I002,2
S00080,I009,4
S02101,I010,3
S03018,I023,3
S01572,I010,3
S02515,I011,1
S02091,I011,1
S01891,I011,1
S00130,I011,2
S00860,I012,1
S02072,I013,1
S01730,I013,1
S02471,I019,1
S00965,I026,3
S00863,I013,7
S01205,I056,1
S02892,I037,3
S01446,I051,3
S02308,I013,7
S02650,I013,7
S01216,I014,1
S00786,I014,4
S00731,I014,4
S00721,I014,2
S03939,I014,1
S01943,I014,1
S01601,I015,1
S00416,I044,1
S03945,I044,1
S01447,I015,4
S03807,I015,4
S01552,I015,1
S02248,I015,1
S01796,I043,1
S03688,I015,1
S00591,I016,1
S02240,I016,5
S00876,I016,7
S01994,I041,1
S02003,I016,7
S01555,I010,1
S02572,I041,1
S03012,I016,7
S03158,I016,7
S03421,I045,2
S03303,I017,2
S01323,I017,1
S01230,I017,4
S02949,I018,2
S03096,I018,4
S00240,I018,1
S03160,I018,3
S01419,I018,2
S03401,I018,1
S03339,I041,1
S00025,I021,1
S00040,I027,1
S00331,I035,4
S00733,I019,7
S01873,I019,7
S01282,I019,7
S00405,I019,7
S01944,I019,7
S01665,I019,7
S03537,I048,3
S03627,I021,1
S01842,I021,1
S03357,I022,1
S03507,I022,1
S02207,I022,7
S02946,I002,3
S00711,I047,1
S00374,I023,7
S01766,I024,1
S03257,I024,1
S00644,I024,7
S01268,I024,1
S00407,I036,2
S02300,I024,7
S01622,I025,1
S03149,I025,7
S00698,I025,4
S03342,I025,1
S02422,I002,2
S00581,I037,5
S03346,I027,1
S00463,I027,1
S03279,I038,1
S03264,I027,7
S02317,I053,3
S01327,I027,7
S03710,I027,7
S01598,I028,1
S00742,I028,1
S01599,I028,1
S01590,I028,1
S03181,I029,2
S01616,I030,1
S02592,I030,1
S01672,I030,1
S03042,I030,2
S03887,I030,7
S02036,I030,7
S02466,I047,2
S01138,I031,2
S00398,I031,3
S02404,I032,1
S03748,I032,1
S03494,I032,1
S02065,I032,1
S03868,I033,1
S01017,I033,1
S00459,I033,7
S01521,I034,1
S03467,I034,1
S01930,I034,2
S03886,I034,6
S00595,I034,1
S02551,I034,1
S03371,I034,5
S00334,I035,1
S01628,I035,1
S00295,I048,3
S03024,I035,7
S01399,I023,1
S03108,I036,1
S01675,I038,3
S01764,I038,2
S00293,I038,7
S03358,I038,7
S01306,I053,3
S02752,I038,7
S01781,I039,1
S01634,I027,1
S02388,I039,2
S03847,I001,1
S02489,I039,1
S01125,I040,1
S03783,I040,1
S02879,I040,3
S01580,I013,3
S03206,I058,3
S01495,I040,1
S03501,I041,1
S00478,I038,1
S01132,I041,1
S03223,I041,3
S03677,I041,1
S00312,I042,1
S03341,I042,2
S03914,I042,3
S01841,I042,2
S00552,I042,2
S03634,I044,1
S01145,I042,4
S02802,I042,7
S03102,I043,1
S02672,I044,1
S02108,I044,7
S03332,I044,1
S01048,I044,7
S00028,I036,3
S01760,I057,1
S01379,I045,1
S03159,I045,2
S01183,I046,4
S01743,I056,2
S00658,I046,3
S03623,I047,2
S02815,I047,1
S02340,I047,1
S00856,I047,7
S03232,I056,1
S00563,I060,1
S03848,I059,1
S03245,I047,7
S00289,I048,3
S02713,I048,2
S01584,I048,2
S02195,I057,1
S00383,I048,3
S03220,I049,1
S03629,I049,1
S01187,I005,1
S00039,I049,3
S00141,I049,5
S02981,I050,3
S01288,I050,1
S01207,I051,4
S03609,I051,3
S01683,I051,3
S02410,I051,2
